Sample in Buffer,Sample in Window,TRIGGER,Adc3444_TCP_i/TriggerCh_0/inst/iAdcData[15:0],Adc3444_TCP_i/TriggerCh_0/inst/iAdcData_Tri,Adc3444_TCP_i/TriggerCh_0/inst/oStateToFINISHIntr,Adc3444_TCP_i/TriggerCh_0/inst/m_axi_wdata[63:0],Adc3444_TCP_i/TriggerCh_0/inst/m_axi_wvalid,Adc3444_TCP_i/TriggerCh_0/inst/m_axi_awaddr[31:0],Adc3444_TCP_i/TriggerCh_0/inst/wTrigToggle[31:0]
220,220,0,0000,0,0,0000000000000000,0,00000000,00000000
221,221,0,0000,0,0,0000000000000000,0,00000000,00000000
222,222,0,0000,0,0,0000000000000000,0,00000000,00000000
223,223,0,0000,0,0,0000000000000000,0,00000000,00000000
224,224,0,0000,0,0,0000000000000000,0,00000000,00000000
225,225,0,0000,0,0,0000000000000000,0,00000000,00000000
226,226,0,0000,0,0,0000000000000000,0,00000000,00000000
227,227,0,0000,0,0,0000000000000000,0,00000000,00000000
228,228,0,0000,0,0,0000000000000000,0,00000000,00000000
229,229,0,0000,0,0,0000000000000000,0,00000000,00000000
230,230,0,0000,0,0,0000000000000000,0,00000000,00000000
231,231,0,0000,0,0,0000000000000000,0,00000000,00000000
232,232,0,0000,0,0,0000000000000000,0,00000000,00000000
233,233,0,0000,0,0,0000000000000000,0,00000000,00000000
234,234,0,0000,0,0,0000000000000000,0,00000000,00000000
235,235,0,0000,0,0,0000000000000000,0,00000000,00000000
236,236,0,0000,0,0,0000000000000000,0,00000000,00000000
237,237,0,0000,0,0,0000000000000000,0,00000000,00000000
238,238,0,0000,0,0,0000000000000000,0,00000000,00000000
239,239,0,0000,0,0,0000000000000000,0,00000000,00000000
240,240,0,0000,0,0,0000000000000000,0,00000000,00000000
241,241,0,0000,0,0,0000000000000000,0,00000000,00000000
242,242,0,0000,0,0,0000000000000000,0,00000000,00000000
243,243,0,0000,0,0,0000000000000000,0,00000000,00000000
244,244,0,0000,0,0,0000000000000000,0,00000000,00000000
245,245,0,0000,0,0,0000000000000000,0,00000000,00000000
246,246,0,0000,0,0,0000000000000000,0,00000000,00000000
247,247,0,0000,0,0,0000000000000000,0,00000000,00000000
248,248,0,0000,0,0,0000000000000000,0,00000000,00000000
249,249,0,0000,0,0,0000000000000000,0,00000000,00000000
250,250,0,0000,0,0,0000000000000000,0,00000000,00000000
251,251,0,0000,0,0,0000000000000000,0,00000000,00000000
252,252,0,0000,0,0,0000000000000000,0,00000000,00000000
253,253,0,0000,0,0,0000000000000000,0,00000000,00000000
254,254,0,0000,0,0,0000000000000000,0,00000000,00000000
255,255,0,0000,0,0,0000000000000000,0,00000000,00000000
256,256,0,0000,0,0,0000000000000000,0,00000000,00000000
257,257,0,0000,0,0,0000000000000000,0,00000000,00000000
258,258,0,0000,0,0,0000000000000000,0,00000000,00000000
259,259,0,0000,0,0,0000000000000000,0,00000000,00000000
260,260,0,0000,0,0,0000000000000000,0,00000000,00000000
261,261,0,0000,0,0,0000000000000000,0,00000000,00000000
262,262,0,0000,0,0,0000000000000000,0,00000000,00000000
263,263,0,0000,0,0,0000000000000000,0,00000000,00000000
264,264,0,0000,0,0,0000000000000000,0,00000000,00000000
265,265,0,0000,0,0,0000000000000000,0,00000000,00000000
266,266,0,0000,0,0,0000000000000000,0,00000000,00000000
267,267,0,0000,0,0,0000000000000000,0,00000000,00000000
268,268,0,0000,0,0,0000000000000000,0,00000000,00000000
269,269,0,0000,0,0,0000000000000000,0,00000000,00000000
270,270,0,0000,0,0,0000000000000000,0,00000000,00000000
271,271,0,0000,0,0,0000000000000000,0,00000000,00000000
272,272,0,0000,0,0,0000000000000000,0,00000000,00000000
273,273,0,0000,0,0,0000000000000000,0,00000000,00000000
274,274,0,0000,0,0,0000000000000000,0,00000000,00000000
275,275,0,0000,0,0,0000000000000000,0,00000000,00000000
276,276,0,0000,0,0,0000000000000000,0,00000000,00000000
277,277,0,0000,0,0,0000000000000000,0,00000000,00000000
278,278,0,0000,0,0,0000000000000000,0,00000000,00000000
279,279,0,0000,0,0,0000000000000000,0,00000000,00000000
280,280,0,0000,0,0,0000000000000000,0,00000000,00000000
281,281,0,0000,0,0,0000000000000000,0,00000000,00000000
282,282,0,0000,0,0,0000000000000000,0,00000000,00000000
283,283,0,0000,0,0,0000000000000000,0,00000000,00000000
284,284,0,0000,0,0,0000000000000000,0,00000000,00000000
285,285,0,0000,0,0,0000000000000000,0,00000000,00000000
286,286,0,0000,0,0,0000000000000000,0,00000000,00000000
287,287,0,0000,0,0,0000000000000000,0,00000000,00000000
288,288,0,0000,0,0,0000000000000000,0,00000000,00000000
289,289,0,0000,0,0,0000000000000000,0,00000000,00000000
290,290,0,0000,0,0,0000000000000000,0,00000000,00000000
291,291,0,0000,0,0,0000000000000000,0,00000000,00000000
292,292,0,0000,0,0,0000000000000000,0,00000000,00000000
293,293,0,0000,0,0,0000000000000000,0,00000000,00000000
294,294,0,0000,0,0,0000000000000000,0,00000000,00000000
295,295,0,0000,0,0,0000000000000000,0,00000000,00000000
296,296,0,0000,0,0,0000000000000000,0,00000000,00000000
297,297,0,0000,0,0,0000000000000000,0,00000000,00000000
298,298,0,0000,0,0,0000000000000000,0,00000000,00000000
299,299,0,0000,0,0,0000000000000000,0,00000000,00000000
300,300,0,0000,0,0,0000000000000000,0,00000000,00000000
301,301,0,0000,0,0,0000000000000000,0,00000000,00000000
302,302,0,0000,0,0,0000000000000000,0,00000000,00000000
303,303,0,0000,0,0,0000000000000000,0,00000000,00000000
304,304,0,0000,0,0,0000000000000000,0,00000000,00000000
305,305,0,0000,0,0,0000000000000000,0,00000000,00000000
306,306,0,0000,0,0,0000000000000000,0,00000000,00000000
307,307,0,0000,0,0,0000000000000000,0,00000000,00000000
308,308,0,0000,0,0,0000000000000000,0,00000000,00000000
309,309,0,0000,0,0,0000000000000000,0,00000000,00000000
310,310,0,0000,0,0,0000000000000000,0,00000000,00000000
311,311,0,0000,0,0,0000000000000000,0,00000000,00000000
312,312,0,0000,0,0,0000000000000000,0,00000000,00000000
313,313,0,0000,0,0,0000000000000000,0,00000000,00000000
314,314,0,0000,0,0,0000000000000000,0,00000000,00000000
315,315,0,0000,0,0,0000000000000000,0,00000000,00000000
316,316,0,0000,0,0,0000000000000000,0,00000000,00000000
317,317,0,0000,0,0,0000000000000000,0,00000000,00000000
318,318,0,0000,0,0,0000000000000000,0,00000000,00000000
319,319,0,0000,0,0,0000000000000000,0,00000000,00000000
320,320,0,0000,0,0,0000000000000000,0,00000000,00000000
321,321,0,0000,0,0,0000000000000000,0,00000000,00000000
322,322,0,0000,0,0,0000000000000000,0,00000000,00000000
323,323,0,0000,0,0,0000000000000000,0,00000000,00000000
324,324,0,0000,0,0,0000000000000000,0,00000000,00000000
325,325,0,0000,0,0,0000000000000000,0,00000000,00000000
326,326,0,0000,0,0,0000000000000000,0,00000000,00000000
327,327,0,0000,0,0,0000000000000000,0,00000000,00000000
328,328,0,0000,0,0,0000000000000000,0,00000000,00000000
329,329,0,0000,0,0,0000000000000000,0,00000000,00000000
330,330,0,0000,0,0,0000000000000000,0,00000000,00000000
331,331,0,0000,0,0,0000000000000000,0,00000000,00000000
332,332,0,0000,0,0,0000000000000000,0,00000000,00000000
333,333,0,0000,0,0,0000000000000000,0,00000000,00000000
334,334,0,0000,0,0,0000000000000000,0,00000000,00000000
335,335,0,0000,0,0,0000000000000000,0,00000000,00000000
336,336,0,0000,0,0,0000000000000000,0,00000000,00000000
337,337,0,0000,0,0,0000000000000000,0,00000000,00000000
338,338,0,0000,0,0,0000000000000000,0,00000000,00000000
339,339,0,0000,0,0,0000000000000000,0,00000000,00000000
340,340,0,0000,0,0,0000000000000000,0,00000000,00000000
341,341,0,0000,0,0,0000000000000000,0,00000000,00000000
342,342,0,0000,0,0,0000000000000000,0,00000000,00000000
343,343,0,0000,0,0,0000000000000000,0,00000000,00000000
344,344,0,0000,0,0,0000000000000000,0,00000000,00000000
345,345,0,0000,0,0,0000000000000000,0,00000000,00000000
346,346,0,0000,0,0,0000000000000000,0,00000000,00000000
347,347,0,0000,0,0,0000000000000000,0,00000000,00000000
348,348,0,0000,0,0,0000000000000000,0,00000000,00000000
349,349,0,0000,0,0,0000000000000000,0,00000000,00000000
350,350,0,0000,0,0,0000000000000000,0,00000000,00000000
351,351,0,0000,0,0,0000000000000000,0,00000000,00000000
352,352,0,0000,0,0,0000000000000000,0,00000000,00000000
353,353,0,0000,0,0,0000000000000000,0,00000000,00000000
354,354,0,0000,0,0,0000000000000000,0,00000000,00000000
355,355,0,0000,0,0,0000000000000000,0,00000000,00000000
356,356,0,0000,0,0,0000000000000000,0,00000000,00000000
357,357,0,0000,0,0,0000000000000000,0,00000000,00000000
358,358,0,0000,0,0,0000000000000000,0,00000000,00000000
359,359,0,0000,0,0,0000000000000000,0,00000000,00000000
360,360,0,0000,0,0,0000000000000000,0,00000000,00000000
361,361,0,0000,0,0,0000000000000000,0,00000000,00000000
362,362,0,0000,0,0,0000000000000000,0,00000000,00000000
363,363,0,0000,0,0,0000000000000000,0,00000000,00000000
364,364,0,0000,0,0,0000000000000000,0,00000000,00000000
365,365,0,0000,0,0,0000000000000000,0,00000000,00000000
366,366,0,0000,0,0,0000000000000000,0,00000000,00000000
367,367,0,0000,0,0,0000000000000000,0,00000000,00000000
368,368,0,0000,0,0,0000000000000000,0,00000000,00000000
369,369,0,0000,0,0,0000000000000000,0,00000000,00000000
370,370,0,0000,0,0,0000000000000000,0,00000000,00000000
371,371,0,0000,0,0,0000000000000000,0,00000000,00000000
372,372,0,0000,0,0,0000000000000000,0,00000000,00000000
373,373,0,0000,0,0,0000000000000000,0,00000000,00000000
374,374,0,0000,0,0,0000000000000000,0,00000000,00000000
375,375,0,0000,0,0,0000000000000000,0,00000000,00000000
376,376,0,0000,0,0,0000000000000000,0,00000000,00000000
377,377,0,0000,0,0,0000000000000000,0,00000000,00000000
378,378,0,0000,0,0,0000000000000000,0,00000000,00000000
379,379,0,0000,0,0,0000000000000000,0,00000000,00000000
380,380,0,0000,0,0,0000000000000000,0,00000000,00000000
381,381,0,0000,0,0,0000000000000000,0,00000000,00000000
382,382,0,0000,0,0,0000000000000000,0,00000000,00000000
383,383,0,0000,0,0,0000000000000000,0,00000000,00000000
384,384,0,0000,0,0,0000000000000000,0,00000000,00000000
385,385,0,0000,0,0,0000000000000000,0,00000000,00000000
386,386,0,0000,0,0,0000000000000000,0,00000000,00000000
387,387,0,0000,0,0,0000000000000000,0,00000000,00000000
388,388,0,0000,0,0,0000000000000000,0,00000000,00000000
389,389,0,0000,0,0,0000000000000000,0,00000000,00000000
390,390,0,0000,0,0,0000000000000000,0,00000000,00000000
391,391,0,0000,0,0,0000000000000000,0,00000000,00000000
392,392,0,0000,0,0,0000000000000000,0,00000000,00000000
393,393,0,0000,0,0,0000000000000000,0,00000000,00000000
394,394,0,0000,0,0,0000000000000000,0,00000000,00000000
395,395,0,0000,0,0,0000000000000000,0,00000000,00000000
396,396,0,0000,0,0,0000000000000000,0,00000000,00000000
397,397,0,0000,0,0,0000000000000000,0,00000000,00000000
398,398,0,0000,0,0,0000000000000000,0,00000000,00000000
399,399,0,0000,0,0,0000000000000000,0,00000000,00000000
400,400,0,0000,0,0,0000000000000000,0,00000000,00000000
401,401,0,0000,0,0,0000000000000000,0,00000000,00000000
402,402,0,0000,0,0,0000000000000000,0,00000000,00000000
403,403,0,0000,0,0,0000000000000000,0,00000000,00000000
404,404,0,0000,0,0,0000000000000000,0,00000000,00000000
405,405,0,0000,0,0,0000000000000000,0,00000000,00000000
406,406,0,0000,0,0,0000000000000000,0,00000000,00000000
407,407,0,0000,0,0,0000000000000000,0,00000000,00000000
408,408,0,0000,0,0,0000000000000000,0,00000000,00000000
409,409,0,0000,0,0,0000000000000000,0,00000000,00000000
410,410,0,0000,0,0,0000000000000000,0,00000000,00000000
411,411,0,0000,0,0,0000000000000000,0,00000000,00000000
412,412,0,0000,0,0,0000000000000000,0,00000000,00000000
413,413,0,0000,0,0,0000000000000000,0,00000000,00000000
414,414,0,0000,0,0,0000000000000000,0,00000000,00000000
415,415,0,0000,0,0,0000000000000000,0,00000000,00000000
416,416,0,0000,0,0,0000000000000000,0,00000000,00000000
417,417,0,0000,0,0,0000000000000000,0,00000000,00000000
418,418,0,0000,0,0,0000000000000000,0,00000000,00000000
419,419,0,0000,0,0,0000000000000000,0,00000000,00000000
420,420,0,0000,0,0,0000000000000000,0,00000000,00000000
421,421,0,0000,0,0,0000000000000000,0,00000000,00000000
422,422,0,0000,0,0,0000000000000000,0,00000000,00000000
423,423,0,0000,0,0,0000000000000000,0,00000000,00000000
424,424,0,0000,0,0,0000000000000000,0,00000000,00000000
425,425,0,0000,0,0,0000000000000000,0,00000000,00000000
426,426,0,0000,0,0,0000000000000000,0,00000000,00000000
427,427,0,0000,0,0,0000000000000000,0,00000000,00000000
428,428,0,0000,0,0,0000000000000000,0,00000000,00000000
429,429,0,0000,0,0,0000000000000000,0,00000000,00000000
430,430,0,0000,0,0,0000000000000000,0,00000000,00000000
431,431,0,0000,0,0,0000000000000000,0,00000000,00000000
432,432,0,0000,0,0,0000000000000000,0,00000000,00000000
433,433,0,0000,0,0,0000000000000000,0,00000000,00000000
434,434,0,0000,0,0,0000000000000000,0,00000000,00000000
435,435,0,0000,0,0,0000000000000000,0,00000000,00000000
436,436,0,0000,0,0,0000000000000000,0,00000000,00000000
437,437,0,0000,0,0,0000000000000000,0,00000000,00000000
438,438,0,0000,0,0,0000000000000000,0,00000000,00000000
439,439,0,0000,0,0,0000000000000000,0,00000000,00000000
440,440,0,0000,0,0,0000000000000000,0,00000000,00000000
441,441,0,0000,0,0,0000000000000000,0,00000000,00000000
442,442,0,0000,0,0,0000000000000000,0,00000000,00000000
443,443,0,0000,0,0,0000000000000000,0,00000000,00000000
444,444,0,0000,0,0,0000000000000000,0,00000000,00000000
445,445,0,0000,0,0,0000000000000000,0,00000000,00000000
446,446,0,0000,0,0,0000000000000000,0,00000000,00000000
447,447,0,0000,0,0,0000000000000000,0,00000000,00000000
